지표연도,적용기간,성별,시도,시군구,평균 기대수명,보험료1분위,보험료2분위,보험료3분위,보험료4분위,보험료5분위,기대수명격차
2021,1년,남성,전국,전체,81.55,75.85,82.00,82.71,83.63,84.71,8.86
2021,1년,여성,전국,전체,87.66,83.88,87.44,88.29,89.13,90.60,6.73
2021,1년,전체,전국,전체,84.77,79.77,84.86,85.70,86.68,87.93,8.16
2021,4년,남성,서울특별시,전체,82.71,77.88,82.81,83.26,84.74,85.78,7.91
2021,4년,여성,서울특별시,전체,88.53,85.70,88.07,88.61,89.55,91.68,5.98
2021,4년,전체,서울특별시,전체,85.77,81.79,85.55,86.07,87.46,88.87,7.08
2021,6년,남성,서울특별시,종로구,82.41,76.61,82.66,83.75,83.61,86.90,10.28
2021,6년,여성,서울특별시,종로구,88.93,85.57,89.54,88.34,90.87,92.23,6.67
2021,6년,전체,서울특별시,종로구,85.85,81.07,86.05,86.26,87.05,90.14,9.07
2021,6년,남성,서울특별시,중구,82.01,76.21,81.64,83.65,83.64,86.26,10.05
2021,6년,여성,서울특별시,중구,89.14,86.43,88.84,89.09,89.13,94.08,7.65
2021,6년,전체,서울특별시,중구,85.80,81.22,85.27,86.72,86.89,90.10,8.88
2021,6년,남성,서울특별시,용산구,82.63,76.31,82.56,85.25,84.37,86.20,9.89
2021,6년,여성,서울특별시,용산구,89.12,86.15,88.68,90.13,90.52,90.80,4.65
2021,6년,전체,서울특별시,용산구,86.21,81.24,85.98,88.04,87.79,88.91,7.67
2021,6년,남성,서울특별시,성동구,82.28,78.05,82.61,82.76,83.70,84.73,6.68
2021,6년,여성,서울특별시,성동구,88.62,86.26,88.98,89.21,88.42,90.82,4.56
2021,6년,전체,서울특별시,성동구,85.63,82.26,85.83,85.98,86.43,88.00,5.74
2021,6년,남성,서울특별시,광진구,82.63,79.10,81.75,83.61,84.74,85.03,5.93
2021,6년,여성,서울특별시,광진구,88.54,85.82,88.21,87.61,91.25,91.61,5.79
2021,6년,전체,서울특별시,광진구,85.75,82.48,84.97,85.92,88.30,88.55,6.08
2021,6년,남성,서울특별시,동대문구,81.36,76.60,80.99,82.53,84.11,83.65,7.05
2021,6년,여성,서울특별시,동대문구,88.32,85.37,88.63,87.96,89.45,90.65,5.28
2021,6년,전체,서울특별시,동대문구,84.86,80.83,84.64,85.30,87.14,87.13,6.30
2021,6년,남성,서울특별시,중랑구,81.38,76.30,81.75,82.18,83.08,84.48,8.18
2021,6년,여성,서울특별시,중랑구,87.28,84.78,86.32,87.54,87.93,90.33,5.55
2021,6년,전체,서울특별시,중랑구,84.47,80.39,84.17,85.09,85.80,87.62,7.24
2021,6년,남성,서울특별시,성북구,82.23,78.34,81.69,82.67,83.86,85.56,7.22
2021,6년,여성,서울특별시,성북구,88.34,85.12,88.62,88.24,90.06,90.59,5.48
2021,6년,전체,서울특별시,성북구,85.43,81.79,85.10,85.65,87.11,88.48,6.69
2021,6년,남성,서울특별시,강북구,80.93,75.52,81.01,81.71,83.03,84.61,9.09
2021,6년,여성,서울특별시,강북구,88.27,84.88,87.62,88.31,89.60,92.18,7.30
2021,6년,전체,서울특별시,강북구,84.64,80.02,84.34,85.08,86.45,88.45,8.43
2021,6년,남성,서울특별시,도봉구,82.17,77.99,82.54,83.41,83.45,84.29,6.29
2021,6년,여성,서울특별시,도봉구,87.87,84.75,88.00,88.24,89.01,90.17,5.42
2021,6년,전체,서울특별시,도봉구,85.19,81.40,85.33,86.15,86.38,87.56,6.16
2021,6년,남성,서울특별시,노원구,81.60,76.28,82.58,82.31,83.27,84.58,8.31
2021,6년,여성,서울특별시,노원구,87.68,83.74,87.56,88.71,89.74,89.86,6.11
2021,6년,전체,서울특별시,노원구,84.96,80.16,85.27,85.79,86.79,87.85,7.69
2021,6년,남성,서울특별시,은평구,82.18,77.74,82.67,82.66,83.88,84.38,6.64
2021,6년,여성,서울특별시,은평구,87.57,85.15,87.20,87.67,88.76,89.46,4.31
2021,6년,전체,서울특별시,은평구,85.10,81.61,85.11,85.30,86.54,87.21,5.60
2021,6년,남성,서울특별시,서대문구,82.31,77.92,82.50,83.29,83.58,85.16,7.23
2021,6년,여성,서울특별시,서대문구,88.70,85.78,87.61,89.25,90.59,91.65,5.87
2021,6년,전체,서울특별시,서대문구,85.67,81.92,85.17,86.56,87.13,88.62,6.70
2021,6년,남성,서울특별시,마포구,82.73,79.49,82.77,82.91,83.82,84.89,5.40
2021,6년,여성,서울특별시,마포구,88.91,87.43,88.37,89.11,89.23,90.37,2.94
2021,6년,전체,서울특별시,마포구,86.02,83.62,85.73,86.10,86.82,87.90,4.28
2021,6년,남성,서울특별시,양천구,82.37,78.77,81.72,82.99,84.21,84.97,6.20
2021,6년,여성,서울특별시,양천구,87.50,85.03,86.83,88.85,87.68,90.14,5.11
2021,6년,전체,서울특별시,양천구,85.18,82.00,84.41,86.11,86.35,87.91,5.91
2021,6년,남성,서울특별시,강서구,81.79,76.36,82.26,82.54,84.24,84.81,8.45
2021,6년,여성,서울특별시,강서구,88.08,84.77,87.49,88.57,88.78,91.98,7.21
2021,6년,전체,서울특별시,강서구,85.17,80.52,85.13,85.81,86.97,88.63,8.11
2021,6년,남성,서울특별시,구로구,82.21,78.09,82.24,82.89,83.43,85.19,7.10
2021,6년,여성,서울특별시,구로구,87.87,86.23,87.10,88.20,88.46,89.66,3.43
2021,6년,전체,서울특별시,구로구,85.12,81.98,84.77,85.58,86.13,87.66,5.68
